date,rc_real_gold_252d,rc_dollar_gold_252d
2024-11-28,-0.2948069937659767,-0.35457630115841515
2024-11-29,-0.275985232461505,-0.37353800777672075
2024-12-02,-0.2770599627263183,-0.3857503275392165
2024-12-03,-0.2785940656840509,-0.38485183030073367
2024-12-04,-0.28129218438250064,-0.38599802785036835
2024-12-05,-0.28250822303102385,-0.3788938234414187
2024-12-06,-0.28873072023599217,-0.3786476137941098
2024-12-09,-0.28865603309749327,-0.3779324245708993
2024-12-10,-0.28819418326321233,-0.37028666327744825
2024-12-11,-0.2850633576220361,-0.37112238490874655
2024-12-12,-0.2892349870032526,-0.3693034275345779
2024-12-13,-0.2946428955404298,-0.3719378504891946
2024-12-16,-0.29285864184060584,-0.3733773652432634
2024-12-17,-0.29301357357587404,-0.3742744248827317
2024-12-18,-0.3052774684877525,-0.37332776069733126
2024-12-19,-0.30139105760341783,-0.3682990679304015
2024-12-20,-0.3084157524861329,-0.3698141520622424
2024-12-23,-0.310881842847664,-0.37136878318434813
2024-12-24,-0.31150157006884055,-0.3721617789695798
2024-12-25,-0.31612515382225514,-0.37497959836382305
2024-12-26,-0.3164648616904865,-0.37571027816923236
2024-12-27,-0.3185304196162089,-0.3757863777899899
2024-12-30,-0.31682631697617797,-0.3768512541222383
2024-12-31,-0.3128804432616878,-0.3700498444852629
2025-01-01,-0.3128804432616878,-0.3700498444852629
2025-01-02,-0.30798018808734395,-0.3605161139816692
2025-01-03,-0.30757213686388457,-0.35489780977749463
2025-01-06,-0.30805788314156163,-0.3456052722870372
2025-01-07,-0.3077313043480735,-0.3450167318330744
2025-01-08,-0.30912382487641493,-0.34209074597833367
2025-01-09,-0.31133622877739286,-0.3452316597062777
2025-01-10,-0.30442552935872597,-0.3486929657481735
2025-01-13,-0.3028736753721148,-0.35134151274436876
2025-01-14,-0.30289103990860633,-0.3529027676145054
2025-01-15,-0.303343655457175,-0.3561038431940923
2025-01-16,-0.3053027931959782,-0.3547176861401202
2025-01-17,-0.30847377012830185,-0.3553080558480629
2025-01-20,-0.3052353423290325,-0.35439738491292405
2025-01-21,-0.2980298681645829,-0.3601587212056941
2025-01-22,-0.2946367385528658,-0.35836997618387645
2025-01-23,-0.2939828181134506,-0.3568102145025704
2025-01-24,-0.29497787514589224,-0.3579338909177382
2025-01-27,-0.28400084587487734,-0.3629979509282825
2025-01-28,-0.28344409526102937,-0.36163398842332856
2025-01-29,-0.2839005804160592,-0.3624721802166091
2025-01-30,-0.27457756225546387,-0.3581304833138879
2025-01-31,-0.27613638929914985,-0.35764131327753823
2025-02-03,-0.27612385389397526,-0.35165116129742474
2025-02-04,-0.2775231737670958,-0.3552930177722668
2025-02-05,-0.27922869285566043,-0.35595008348680857
2025-02-06,-0.27911870327867394,-0.35594985553734765
2025-02-07,-0.2783607110264082,-0.35565873027777456
2025-02-10,-0.27706638688609525,-0.3503724321878891
2025-02-11,-0.2760732209910725,-0.3481622368240512
2025-02-12,-0.27417480843941155,-0.3481370285542325
2025-02-13,-0.27809547390224665,-0.3515021816262048
2025-02-14,-0.27011231475674763,-0.3317646249372397
2025-02-17,-0.26955121623174894,-0.33196074694679767
2025-02-18,-0.25239672813319064,-0.32645237532634624
2025-02-19,-0.2546564017508957,-0.3246655877412508
2025-02-20,-0.2523928443038316,-0.3221006379468866
2025-02-21,-0.25077422045251846,-0.3197157916537067
2025-02-24,-0.2514892520039525,-0.31846668003351253
2025-02-25,-0.2410539692330755,-0.3180003312718368
2025-02-26,-0.2411634272543081,-0.31802184698400265
